id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Tomás;Jaimes Matías;Cecilia_VerduzcoZelaya10@yahoo.com;funding apud usefully;2024-04-11T12:48:23;21886;5818
2;Leonor;Pagan Delvalle;Isabel_RivasGodinez5@gmail.com;kindly incidentally;2024-04-11T21:24:19;8166;2705
3;Amalia;Jaime Curiel;David_AmayaCastro51@hotmail.com;geez;2024-04-11T10:27:08;23644;21044
4;Marilú;Garza Agosto;Maricarmen_VarelaUlloa@hotmail.com;pleased dwarf brr;2024-04-11T16:21:08;4403;12731
5;Débora;Montañez Noriega;Vicente_AnguianoColon61@hotmail.com;awkward predecease impolite;2024-04-11T18:18:23;26925;19562
6;Dolores;Toro Barrientos;Emilia42@gmail.com;joshingly dismiss yuck;2024-04-11T18:16:46;32625;27965
7;María José;Torres Verdugo;Claudia.RaelGamez43@yahoo.com;doubtfully for whereas;2024-04-11T00:36:27;22634;31911
8;Gabriela;Jaramillo Muñiz;German68@yahoo.com;upon arm-rest;2024-04-11T21:05:48;25165;29758
9;Luz;Aguilar Olivera;Antonia95@yahoo.com;brightly devil;2024-04-11T08:49:47;26597;25116
10;Berta;Guardado Bahena;Sergio97@gmail.com;monger;2024-04-11T02:16:52;7380;23522
